word,part of speech,definition
bust,noun,"a sculptured, painted, drawn, or engraved representation of the upper part of the human figure, especially a portrait sculpture showing only the head and shoulders of the subject."
butcher,noun,a retail or wholesale dealer in meat.
butter,noun,"the fatty portion of milk, separating as a soft whitish or yellowish solid when milk or cream is agitated or churned."
button,noun,"a small disk, knob, or the like for sewing or otherwise attaching to an article, as of clothing, serving as a fastening when passed through a buttonhole or loop."
button,noun,"a small disk, knob, or the like for sewing or otherwise attaching to an article, as of clothing, serving as a fastening when passed through a buttonhole or loop."
buy,verb,"to acquire the possession of, or the right to, by paying or promising to pay an equivalent, especially in money; purchase."
buzz,noun,"a low, vibrating, humming sound, as of bees, machinery, or people talking."
cabbage,noun,"any of several cultivated varieties of a plant, Brassica oleracea capitata, of the mustard family, having a short stem and leaves formed into a compact, edible head."
cable,noun,"a heavy, strong rope."
cackle,verb,"to utter a shrill, broken sound or cry, as of a hen."
cactus,noun,"any of numerous succulent plants of the family Cactaceae, of warm, arid regions of the New World, having fleshy, leafless, usually spiny stems, and typically having solitary, showy flowers."
cajole,verb,to persuade by flattery or promises; wheedle; coax.
cakes,noun,"a sweet, baked, breadlike food, made with or without shortening, and usually containing flour, sugar, baking powder or soda, eggs, and liquid flavoring."
cake,noun,"a sweet, baked, breadlike food, made with or without shortening, and usually containing flour, sugar, baking powder or soda, eggs, and liquid flavoring."
calculate,verb,to determine or ascertain by mathematical methods; compute
calculator,noun,a person who calculates or computes.
calendar,noun,a table or register with the days of each month and week in a year
call,verb,to cry out in a loud voice; shout
calmly,adjective,without rough motion; still or nearly still
calm,adjective,without rough motion; still or nearly still
camera,noun,"a device for capturing a photographic image or recording a video, using film or digital memory."
camp,noun,a place where an army or other group of persons or an individual is lodged in a tent or tents or other temporary means of shelter.
cannon,noun,"a mounted gun for firing heavy projectiles; a gun, howitzer, or mortar."
cantillate,verb,to chant; intone.
canvass,verb,"to solicit votes, subscriptions, opinions, or the like from."
canvas,noun,"a closely woven, heavy cloth of cotton, hemp, or linen,  for tents, sails, etc."
can,auxiliary verb,"to be able to; have the ability, power, or skill to"
caper,verb,to leap or skip about in a sprightly manner; prance; frisk; gambol.
capitulate,verb,to surrender unconditionally or on stipulated terms.
caption,noun,"a title or explanation for a picture or illustration, especially in a magazine."
capture,verb,to take by force or stratagem; take prisoner; seize
cap,noun,"a close-fitting covering for the head, usually of soft supple material and having no visor or brim."
card,noun,"a usually rectangular piece of stiff paper, thin pasteboard, or plastic for various uses, as to write information on or printed as a means of identifying the holder"
careen,verb,"(of a vehicle) to lean, sway, or tip to one side while in motion"
carefully,adjective,cautious in one's actions
carelessly,adjective,not paying enough attention to what one does
caress,noun,"an act or gesture expressing affection, as an embrace or kiss, especially a light stroking or touching."
care,noun,"a state of mind in which one is troubled; worry, anxiety, or concern"
care,noun,"a state of mind in which one is troubled; worry, anxiety, or concern"
carol,noun,"a song, especially of joy."
carpenter,noun,"a person who builds or repairs wooden structures, as houses, scaffolds, or shelving."
carriage,noun,"a wheeled vehicle for conveying persons, as one drawn by horses and designed for comfort and elegance."
carry,verb,to take or support from one place to another; convey; transport
cars,noun,an automobile.
cartwheel,noun,the wheel of a cart.
cart,noun,"a heavy two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like,  for the conveyance of heavy goods."
carve,verb,to cut (a solid material) so as to form something
car,noun,an automobile.
cash,noun,"money in the form of coins or banknotes, especially that issued by a government."
castle,noun,"a fortified, usually walled residence, as of a prince or noble in feudal times."
cast,verb,to throw or hurl; fling
cast,verb,to throw or hurl; fling
catalog,noun,"a list or record, as of items for sale or courses at a university, systematically arranged and often including descriptive material"
catapult,noun,"an ancient military engine for hurling stones, arrows, etc."
catcall,noun,"a shrill, whistlelike sound or loud raucous shout made to express disapproval at a theater, meeting, etc."
catch,verb,"to seize or capture, especially after pursuit"
categorise,verb,to arrange in categories or classes; classify.
categorize,verb,to arrange in categories or classes; classify.
caterwaul,verb,"to utter long wailing cries, as cats in rutting time."
cats,noun,"a small domesticated carnivore, Felis domestica or F. catus, bred in a number of varieties."
cattle,noun,"bovine animals, especially domesticated members of the genus Bos."
cat,noun,"a small domesticated carnivore, Felis domestica or F. catus, bred in a number of varieties."
cause,noun,"a person or thing that acts, happens, or exists in such a way that some specific thing happens as a result; the producer of an effect"
cause,noun,"a person or thing that acts, happens, or exists in such a way that some specific thing happens as a result; the producer of an effect"
caution,noun,alertness and prudence in a hazardous situation; care; wariness
cautiously,adjective,"showing, using, or characterized by caution"
cave,noun,"a hollow in the earth, especially one opening more or less horizontally into a hill, mountain, etc."
cavort,verb,to prance or caper about.
caw,noun,"the harsh, grating cry of the crow, raven, etc."
cease,verb,to stop; discontinue
celebrate,verb,to observe (a day) or commemorate (an event) with ceremonies or festivities
celery,noun,"a plant, Apium graveolens, of the parsley family, whose leafstalks are eaten raw or cooked."
cellar,noun,"a room, or set of rooms, for the storage of food, fuel, etc., wholly or partly underground and usually beneath a building."
